case,kind,L_mm,H_mean_mm,A_mm,lambda_mm,phase_rad,Uin_mps
channel_00,straight,50.0,1.0,0.0,1.0,0.0,0.1
channel_01,straight,50.0,1.2,0.0,1.0,0.0,0.2
channel_02,straight,50.0,1.5,0.0,1.0,0.0,0.3
channel_03,straight,50.0,1.8,0.0,1.0,0.0,0.4
channel_04,straight,50.0,2.2,0.0,1.0,0.0,0.5
channel_05,wavy,50.0,1.5,0.1,20.0,0.0,0.1
channel_06,wavy,50.0,1.5,0.15,25.0,0.7,0.2
channel_07,wavy,50.0,1.8,0.12,15.0,1.2,0.3
channel_08,wavy,50.0,1.8,0.18,30.0,0.3,0.4
channel_09,wavy,50.0,2.2,0.15,18.0,1.6,0.5
